"year","mn","ET"
2010,1,1.16695127927179
2010,2,12.606521835974
2010,3,40.7614748377708
2010,4,62.9126561038267
2010,5,87.0113152072227
2010,6,88.0062664270971
2010,7,99.7736810061922
2010,8,82.0980205812037
2010,9,45.7221389008509
2010,10,9.08875458473783
2010,11,4.60751674264586
2010,12,1.02411534977652
2011,1,7.33425894302303
2011,2,9.40051675749521
2011,3,24.4397190502354
2011,4,43.4348633117028
2011,5,67.1142806230789
2011,6,101.617822193843
2011,7,107.551118898772
2011,8,87.4187072153008
2011,9,48.289324799905
2011,10,12.9267332907652
2011,11,7.31926109617926
2011,12,5.87686916234798
2012,1,2.32999717862287
2012,2,3.24364818912136
2012,3,14.072509392216
2012,4,30.9572487118186
2012,5,65.7312712531369
2012,6,82.8444233253642
2012,7,95.4405951620807
2012,8,66.0828593914735
2012,9,35.8620495077439
2012,10,6.63336946675972
2012,11,3.29507149963619
2012,12,3.30598577431953
2013,1,2.32986353444308
2013,2,4.68131802859985
2013,3,17.0020937588168
2013,4,21.2801775982656
2013,5,48.9282182260963
2013,6,73.3352241509882
2013,7,78.7632122121082
2013,8,76.4472476723639
2013,9,42.3436140356088
2013,10,8.51703963292399
2013,11,4.31790980502799
2013,12,2.70283474154701
2014,1,0.669869177197333
2014,2,0.987333501626004
2014,3,16.7084329477451
2014,4,29.5322008226542
2014,5,55.7561439199323
2014,6,66.0682921758757
2014,7,89.4468615891778
2014,8,62.5811591405194
2014,9,32.3221121720149
2014,10,3.85272411386484
2014,11,7.69677620539626
2014,12,4.74958050576897
2015,1,7.10704898801657
2015,2,7.7969647921833
2015,3,16.9378554563949
2015,4,17.0233877314643
2015,5,59.0384152770147
2015,6,55.6319587781952
2015,7,95.9844972751437
2015,8,67.9306832187458
2015,9,31.8316825802236
2015,10,7.23903004024175
2015,11,7.93521227150558
2015,12,1.7957174465052
2016,1,1.34180241450485
2016,2,6.36799667374486
2016,3,30.3909834726698
2016,4,37.1631795435309
2016,5,70.7321770636889
2016,6,70.5420459438991
2016,7,88.6527181741235
2016,8,62.639112454978
2016,9,44.6976892406658
2016,10,9.23364014999926
2016,11,1.26571509034046
2016,12,0.772125631790357
2017,1,0.248548475713883
2017,2,3.05261125877968
2017,3,32.6448925649288
2017,4,54.745660276495
2017,5,72.3328037063986
2017,6,90.2557476385671
2017,7,95.9053662451145
2017,8,83.9062977977755
2017,9,53.6779026773384
2017,10,20.5123917853377
2017,11,0.282895029921447
2017,12,0.439466611229081
2018,1,0.965772240618921
2018,2,1.39842299867841
2018,3,22.8690435531533
2018,4,38.3574536328943
2018,5,82.0232837859911
2018,6,91.880982433215
2018,7,94.4970375540145
2018,8,85.2642442421633
2018,9,45.2302986204951
2018,10,9.03400501908142
2018,11,1.79359398898178
2018,12,0.468021917645487
2019,1,1.47768884665073
2019,2,1.4103915774468
2019,3,24.9371872354959
2019,4,30.8151255512822
2019,5,93.6182231263828
2019,6,99.1445733038326
2019,7,112.855634587114
2019,8,89.2885823322394
2019,9,51.943884293839
2019,10,16.7345084121587
