"","dt.tmp","P","ET","SWE_change","SM_change","inflow","CV_out_km3_mn","cum_gws"
"46",2006-01-15,3.97460118548092,0.940339019203385,2.7616301686116e-06,4.79287934083913,9.023996596,11.4398136746496,-15.1801790500458
"47",2006-02-15,1.86466763242228,1.36878403504963,3.937522423778e-06,-0.221479990508879,4.11062514,4.21441761549312,-14.5666118751798
"48",2006-03-15,5.21865071525363,1.91238525374831,1.55667320432799e-05,1.13006572786163,8.120056814,8.97452343595008,-13.2448943302182
"49",2006-04-15,4.30814489650332,2.7529143411899,0,0.915960262389429,12.18578945,13.3251490276762,-13.7449836149704
"50",2006-05-15,0.822392123431089,3.30128273912327,0,-3.39995125664139,7.140397394,6.60366107163648,-12.2871866516577
"51",2006-06-15,0.0363271507928086,2.9879109657278,0,-2.85803054974026,4.439278485,3.40590646499328,-11.3473678968457
"52",2006-07-15,0.000956238103203141,2.88583874443811,0,-1.65283498433407,3.045442384,1.984842309888,-11.5188153447346
"53",2006-08-15,0.000978633754415692,2.46673821629577,0,-0.61694083484047,2.658435567,1.80633555864576,-12.5155340840812
"54",2006-09-15,0,2.01216118825008,0,-0.253877272869515,1.922310739,1.63926897583104,-13.9907762362928
"55",2006-10-15,0.299629714031006,1.65567623294472,0,-0.0655212246060373,1.478086485,1.22368455115776,-15.0268995967582
"56",2006-11-15,1.04749118021552,1.1117266279554,0,0.248716204011355,1.355836282,1.12817529216,-15.1121902586695
"57",2006-12-15,2.7262956207655,0.946011207881788,0.000106942733516773,1.12169208743805,1.48446111,1.5148803866112,-14.4841241525685
"58",2007-01-15,0.645437312003271,0.895352329626308,0.00271067739461936,0.966444987108162,1.239577092,1.29166498741248,-15.7552827301068
"59",2007-02-15,4.03440794744423,1.28279771454209,0,1.01841793767207,1.631706551,1.8295584155136,-14.2199422993904
"60",2007-03-15,0.513023571304735,2.28799850814115,0,0.049630936203215,1.595095631,1.66445398305792,-16.1139065244879
"61",2007-04-15,1.19040157178556,2.23068892529699,0,-1.50331603194961,1.668175621,1.24525352567808,-15.2279557507278
"62",2007-05-15,0.256741755710746,2.35453048140099,0,-0.77161207111997,1.795939479,1.01117045578752,-15.7693633820856
"63",2007-06-15,0.034775043236927,2.44717216985281,0,-0.777415085330455,2.114864367,1.09912714850304,-16.3886082048741
